nome,idade,cpf,rg,data_nasc,sexo,signo,mae,pai,email,cep,endereco,numero,bairro,data,cidade,estado,telefone_fixo,celular,altura,peso,,tipo_sanguineo,cor,valor_compra
Jaqueline Betina Andreia Brito,64,148.200.946-37,47.808.257-5,03/02/1959,Feminino,Aquário,Sônia Jéssica Luciana,Yago Noah Brito,jaquelinebetinabrito@gigaonline.com.br,57052-242,Rua Miguel Palmeira,792,Pitanguinha,27/03/2022,Maceió,AL,(82) 3518-3844,(82) 98688-1411,,56,,A+,amarelo,"R$ 2.500,00"
Agatha Sandra Helena Martins,75,541.492.800-29,30.819.774-4,20/01/1948,Feminino,Capricórnio,Sophie Agatha Eliane,César Thiago Oliver Martins,agatha_sandra_martins@goldfinger.com.br,77818-670,Rua das Rosas,593,Setor Rodoviário,27/03/2022,Araguaína,TO,(63) 3900-9389,(63) 99601-7037,,61,,AB-,verde,"R$ 3.500,00"
Rafaela Adriana Cardoso,58,236.469.398-50,18.163.784-4,26/02/1965,Feminino,Peixes,Luiza Andrea,Enrico Giovanni Pedro Cardoso,rafaela_adriana_cardoso@vick1.com.br,64008-230,Rua Irmã Catarina Levrine,506,Memorare,27/03/2022,Teresina,PI,(86) 3854-4414,(86) 99989-5916,,59,,A+,amarelo,"R$ 2.500,00"
Sophia Laís da Paz,43,014.745.548-06,32.450.287-4,01/03/1980,Feminino,Peixes,Evelyn Benedita,Renan Marcos Vinicius Felipe da Paz,sophia_dapaz@silnave.com.br,60850-240,Rua Sete Estrelas,101,Aerolândia,27/03/2022,Fortaleza,CE,(85) 3885-4383,(85) 98177-7645,,84,,AB+,laranja,"R$ 5.300,00"
Benedito Davi Lopes,44,395.672.302-34,37.197.569-4,01/03/1979,Masculino,Peixes,Alana Laís Carla,Mateus Calebe Matheus Lopes,benedito_lopes@daruma.com.br,69911-102,Beco Lucinda,732,Aeroporto Velho,27/03/2022,Rio Branco,AC,(68) 2860-9196,(68) 99191-5350,,85,,O+,roxo,"R$ 5.300,00"
Isabel Jennifer Aparecida Melo,55,980.540.029-80,19.381.778-0,08/02/1968,Feminino,Aquário,Ayla Camila Tatiane,Marcelo Vinicius Melo,isabeljennifermelo@estruturalbr.com.br,29041-340,Escadaria Engenheiro Bassine,539,Romão,27/03/2022,Vitória,ES,(27) 3573-6330,(27) 99233-7169,,73,,B-,verde,"R$ 1.400,00"
Anderson Enrico da Luz,35,445.111.384-94,25.575.286-6,12/02/1988,Masculino,Aquário,Aurora Raimunda Brenda,Gustavo Breno Vitor da Luz,anderson-daluz77@accent.com.br,79021-173,Praça Adolpho Tognini,868,Coophafé,27/03/2022,Campo Grande,MS,(67) 2918-8082,(67) 99399-5457,,85,,AB-,preto,"R$ 2.100,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Nicole Elisa Costa,52,195.315.561-80,33.347.257-3,01/03/1971,Feminino,Peixes,Rosângela Mirella Francisca,Renan Oliver Costa,nicole-costa72@consultoriosjc.com.br,86704-120,Rua Pássaro-boi,582,Jardim Monte Carlo,27/03/2022,Arapongas,PR,(43) 2665-0922,(43) 98736-1259,,76,,A-,preto,"R$ 3.400,00"
César André Isaac Pinto,42,018.640.515-40,23.361.694-9,01/03/1981,Masculino,Peixes,Tânia Marlene Laura,Benício Lucca Pinto,cesar-pinto73@comanzzaindaia.com.br,57048-278,Rua Projetada 906,630,Antares,27/03/2022,Maceió,AL,(82) 2994-8461,(82) 99157-6962,,68,,A+,vermelho,"R$ 3.400,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Maria Yasmin Barros,75,965.130.621-10,17.637.424-3,13/02/1948,Feminino,Aquário,Stella Simone Mariane,Raul Daniel Barros,maria_barros@solviagens.com,57081-743,Rua Maria Josefa Rufino de Oliveira,629,Tabuleiro do Martins,27/03/2022,Maceió,AL,(82) 2680-6459,(82) 99880-2596,,84,,B-,amarelo,"R$ 5.300,00"
Lucca Osvaldo Bernardes,37,751.811.881-50,40.571.734-9,02/03/1986,Masculino,Peixes,Luna Mariah Nina,Thomas Nathan Bernardes,lucca_osvaldo_bernardes@monsanto.com,64218-825,Avenida das Normalistas,937,Bebedouro,27/03/2022,Parnaíba,PI,(86) 3934-1199,(86) 99264-0791,,90,,O-,azul,"R$ 2.500,00"
Osvaldo João Fernandes,69,202.283.219-13,13.288.086-6,02/03/1954,Masculino,Peixes,Allana Elisa,Augusto Benedito Fernandes,osvaldojoaofernandes@sanidet.com.br,58102-770,Rua Hortência Helena de Amorim Brito,436,Parque Verde,27/03/2022,Cabedelo,PB,(83) 3720-7532,(83) 98986-1463,,93,,AB+,preto,"R$ 5.300,00"
Fátima Sarah Alícia Vieira,80,661.897.486-00,22.943.110-0,23/01/1943,Feminino,Aquário,Malu Luna,Diego Igor Paulo Vieira,fatima_sarah_vieira@gruppoitalia.com.br,72420-170,Quadra Quadra 17,980,Setor Oeste (Gama),27/03/2022,Brasília,DF,(61) 2827-3826,(61) 98936-9189,,76,,AB-,vermelho,"R$ 2.100,00"
